provider_id,vendor,asn,cidr,start_ip,end_ip,org,scope,status
aeza-group,Aeza Group,AS210644,62.60.156.0/22,62.60.156.0,62.60.159.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,62.60.186.0/24,62.60.186.0,62.60.186.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,62.60.228.0/22,62.60.228.0,62.60.231.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,62.60.236.0/22,62.60.236.0,62.60.239.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,77.110.106.0/24,77.110.106.0,77.110.106.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,77.110.108.0/23,77.110.108.0,77.110.110.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,77.110.110.0/24,77.110.108.0,77.110.110.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,77.110.114.0/23,77.110.114.0,77.110.116.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,77.110.116.0/24,77.110.114.0,77.110.116.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,77.110.118.0/23,77.110.118.0,77.110.127.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,77.110.120.0/21,77.110.118.0,77.110.127.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,77.110.96.0/21,77.110.96.0,77.110.103.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,77.221.136.0/21,77.221.136.0,77.221.143.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,77.221.148.0/23,77.221.148.0,77.221.149.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,77.221.152.0/21,77.221.152.0,77.221.159.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,77.232.142.0/23,77.232.142.0,77.232.143.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,77.73.131.0/24,77.73.131.0,77.73.131.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,78.153.130.0/24,78.153.130.0,78.153.130.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,79.137.133.0/24,79.137.133.0,79.137.133.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,79.137.184.0/24,79.137.184.0,79.137.184.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,79.137.194.0/23,79.137.194.0,79.137.199.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,79.137.196.0/22,79.137.194.0,79.137.199.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
aeza-group,Aeza Group,AS210644,79.137.202.0/23,79.137.202.0,79.137.207.255,AEZA INTERNATIONAL LTD,provider_allocated,candidate
